station,date,prcp,tobs,Month,Year
USC00519397,5/10/10,0,76,5,2010
USC00519397,5/11/10,0,77,5,2010
USC00519397,5/13/10,0,78,5,2010
USC00519397,5/14/10,0,78,5,2010
USC00519397,5/15/10,0,75,5,2010
USC00519397,5/16/10,0.03,73,5,2010
USC00519397,5/17/10,0,77,5,2010
USC00519397,5/18/10,0,76,5,2010
USC00519397,5/19/10,0,77,5,2010
USC00519397,5/21/10,0,77,5,2010
USC00519397,5/22/10,0,78,5,2010
USC00519397,5/23/10,0.05,75,5,2010
USC00519397,5/24/10,0,77,5,2010
USC00519397,5/25/10,0,77,5,2010
USC00519397,5/26/10,0.02,77,5,2010
USC00519397,5/27/10,0,76,5,2010
USC00519397,5/28/10,0,75,5,2010
USC00519397,5/29/10,0,77,5,2010
USC00519397,5/30/10,0,77,5,2010
USC00519397,5/31/10,0,77,5,2010
USC00519397,6/1/10,0,78,6,2010
USC00519397,6/2/10,0.01,76,6,2010
USC00519397,6/3/10,0,78,6,2010
USC00519397,6/4/10,0,76,6,2010
USC00519397,6/5/10,0,77,6,2010
USC00519397,6/6/10,0,78,6,2010
USC00519397,6/7/10,0,77,6,2010
USC00519397,6/8/10,0,78,6,2010
USC00519397,6/9/10,0,78,6,2010
USC00519397,6/10/10,0,79,6,2010
USC00519397,6/11/10,0,78,6,2010
USC00519397,6/12/10,0,78,6,2010
USC00519397,6/13/10,0,78,6,2010
USC00519397,6/14/10,0,77,6,2010
USC00519397,6/15/10,0,78,6,2010
USC00519397,6/16/10,0,78,6,2010
USC00519397,6/17/10,0,77,6,2010
USC00519397,6/18/10,0,77,6,2010
USC00519397,6/19/10,0,82,6,2010
USC00519397,6/20/10,0,78,6,2010
USC00519397,6/21/10,0,78,6,2010
USC00519397,6/22/10,0,78,6,2010
USC00519397,6/23/10,0,78,6,2010
USC00519397,6/24/10,0,78,6,2010
USC00519397,6/25/10,0,77,6,2010
USC00519397,6/26/10,0.02,76,6,2010
USC00519397,6/27/10,0,78,6,2010
USC00519397,6/28/10,0,78,6,2010
USC00519397,6/29/10,0,78,6,2010
USC00519397,6/30/10,0,78,6,2010
USC00519397,7/1/10,0.01,75,7,2010
USC00519397,7/2/10,0.05,77,7,2010
USC00519397,7/3/10,0.09,77,7,2010
USC00519397,7/4/10,0.05,78,7,2010
USC00519397,7/5/10,0.06,78,7,2010
USC00519397,7/6/10,0.08,76,7,2010
USC00519397,7/7/10,0.08,74,7,2010
USC00519397,7/8/10,0.03,76,7,2010
USC00519397,7/9/10,0.06,74,7,2010
USC00519397,7/10/10,0.09,76,7,2010
USC00519397,7/11/10,0,78,7,2010
USC00519397,7/12/10,0,77,7,2010
USC00519397,7/13/10,0,80,7,2010
USC00519397,7/16/10,0,78,7,2010
USC00519397,7/17/10,0.02,76,7,2010
USC00519397,7/18/10,0,77,7,2010
USC00519397,7/19/10,0.04,77,7,2010
USC00519397,7/21/10,0,80,7,2010
USC00519397,7/22/10,0,78,7,2010
USC00519397,7/24/10,0,80,7,2010
USC00519397,7/25/10,0,79,7,2010
USC00519397,7/26/10,0,78,7,2010
USC00519397,7/27/10,0,79,7,2010
USC00519397,7/28/10,0,78,7,2010
USC00519397,7/29/10,0,79,7,2010
USC00519397,7/30/10,0,78,7,2010
USC00519397,7/31/10,0.02,77,7,2010
USC00519397,8/1/10,0.04,77,8,2010
USC00519397,8/2/10,0.01,76,8,2010
USC00519397,8/3/10,0.02,77,8,2010
USC00519397,8/4/10,0.07,77,8,2010
USC00519397,8/5/10,0.08,75,8,2010
USC00519397,8/6/10,0.03,75,8,2010
USC00519397,8/7/10,0,80,8,2010
USC00519397,8/8/10,0,77,8,2010
USC00519397,8/9/10,0,78,8,2010
USC00519397,8/10/10,0,78,8,2010
USC00519397,8/11/10,0,77,8,2010
USC00519397,8/12/10,0,76,8,2010
USC00519397,8/13/10,0,78,8,2010
USC00519397,8/14/10,0,78,8,2010
USC00519397,8/15/10,0.01,76,8,2010
USC00519397,8/16/10,0,76,8,2010
USC00519397,8/17/10,0.05,74,8,2010
USC00519397,8/18/10,0,77,8,2010
USC00519397,8/19/10,0,79,8,2010
USC00519397,8/20/10,0,79,8,2010
USC00519397,8/21/10,0,79,8,2010
USC00519397,8/22/10,0,75,8,2010
USC00519397,8/23/10,0.01,87,8,2010
USC00519397,8/24/10,0,78,8,2010
USC00519397,8/25/10,0.04,76,8,2010
USC00519397,8/26/10,0.03,78,8,2010
USC00519397,8/27/10,0,78,8,2010
USC00519397,8/28/10,0.04,79,8,2010
USC00519397,8/29/10,0,78,8,2010
USC00519397,8/30/10,0,78,8,2010
USC00519397,8/31/10,0,80,8,2010
USC00519397,9/1/10,0,77,9,2010
USC00519397,9/2/10,0.02,76,9,2010
USC00519397,9/3/10,0.04,78,9,2010
USC00519397,9/4/10,0.01,77,9,2010
USC00519397,9/5/10,0,77,9,2010
USC00519397,9/6/10,0,77,9,2010
USC00519397,9/7/10,0.06,76,9,2010
USC00519397,9/8/10,0,78,9,2010
USC00519397,9/9/10,0,78,9,2010
USC00519397,9/10/10,0,78,9,2010
USC00519397,9/11/10,0.05,78,9,2010
USC00519397,9/12/10,0,74,9,2010
USC00519397,9/13/10,0,78,9,2010
USC00519397,9/14/10,0,79,9,2010
USC00519397,9/15/10,0,77,9,2010
USC00519397,9/16/10,0,79,9,2010
USC00519397,9/17/10,0,78,9,2010
USC00519397,9/19/10,0,78,9,2010
USC00519397,9/20/10,0,78,9,2010
USC00519397,9/21/10,0,79,9,2010
USC00519397,9/22/10,0.04,76,9,2010
USC00519397,9/23/10,0,78,9,2010
USC00519397,9/24/10,0,78,9,2010
USC00519397,9/25/10,0,79,9,2010
USC00519397,9/26/10,0,74,9,2010
USC00519397,9/27/10,0,75,9,2010
USC00519397,9/28/10,0,75,9,2010
USC00519397,9/29/10,0,78,9,2010
USC00519397,9/30/10,0.57,73,9,2010
USC00519397,10/1/10,0.31,78,10,2010
USC00519397,10/2/10,0.03,78,10,2010
USC00519397,10/3/10,0,78,10,2010
USC00519397,10/4/10,0.06,78,10,2010
USC00519397,10/5/10,0,80,10,2010
USC00519397,10/6/10,0,79,10,2010
USC00519397,10/7/10,0,79,10,2010
USC00519397,10/8/10,0,78,10,2010
USC00519397,10/9/10,0,78,10,2010
USC00519397,10/10/10,0,78,10,2010
USC00519397,10/11/10,0,77,10,2010
USC00519397,10/12/10,0,79,10,2010
USC00519397,10/13/10,0,78,10,2010
USC00519397,10/15/10,0,78,10,2010
USC00519397,10/16/10,0,77,10,2010
USC00519397,10/17/10,0,76,10,2010
USC00519397,10/18/10,0,76,10,2010
USC00519397,10/19/10,0.07,72,10,2010
USC00519397,10/20/10,0,74,10,2010
USC00519397,10/21/10,0,80,10,2010
USC00519397,10/22/10,0,77,10,2010
USC00519397,10/23/10,0,75,10,2010
USC00519397,10/24/10,0,78,10,2010
USC00519397,10/25/10,0,78,10,2010
USC00519397,10/26/10,0.07,76,10,2010
USC00519397,10/27/10,0.05,79,10,2010
USC00519397,10/28/10,0.06,78,10,2010
USC00519397,10/29/10,0.03,78,10,2010
USC00519397,10/30/10,0.02,77,10,2010
USC00519397,10/31/10,0,76,10,2010
USC00519397,11/1/10,0.01,75,11,2010
USC00519397,11/2/10,0.01,73,11,2010
USC00519397,11/4/10,0,73,11,2010
USC00519397,11/5/10,0,77,11,2010
USC00519397,11/6/10,0,76,11,2010
USC00519397,11/7/10,0,77,11,2010
USC00519397,11/8/10,0,76,11,2010
USC00519397,11/9/10,0,73,11,2010
USC00519397,11/10/10,0.23,73,11,2010
USC00519397,11/11/10,0,77,11,2010
USC00519397,11/12/10,0,77,11,2010
USC00519397,11/13/10,0,76,11,2010
USC00519397,11/16/10,0,73,11,2010
USC00519397,11/17/10,0,73,11,2010
USC00519397,11/19/10,0,72,11,2010
USC00519397,11/20/10,0.03,69,11,2010
USC00519397,11/21/10,0,69,11,2010
USC00519397,11/22/10,0,68,11,2010
USC00519397,11/23/10,0,69,11,2010
USC00519397,11/24/10,0,76,11,2010
USC00519397,11/25/10,0,76,11,2010
USC00519397,11/27/10,0,75,11,2010
USC00519397,11/28/10,0,74,11,2010
USC00519397,11/29/10,0,69,11,2010
USC00519397,11/30/10,0,74,11,2010
USC00519397,12/1/10,0.04,76,12,2010
USC00519397,12/3/10,0,74,12,2010
USC00519397,12/4/10,0,74,12,2010
USC00519397,12/6/10,0,64,12,2010
USC00519397,12/7/10,0,64,12,2010
USC00519397,12/8/10,0,67,12,2010
USC00519397,12/9/10,0,77,12,2010
USC00519397,12/10/10,1.58,66,12,2010
USC00519397,12/11/10,0.77,69,12,2010
USC00519397,12/12/10,0,68,12,2010
USC00519397,12/13/10,0,68,12,2010
USC00519397,12/14/10,0,71,12,2010
USC00519397,12/15/10,0,74,12,2010
USC00519397,12/16/10,0,67,12,2010
USC00519397,12/17/10,0,66,12,2010
USC00519397,12/18/10,0,69,12,2010
USC00519397,12/19/10,1.4,71,12,2010
USC00519397,12/23/10,0,70,12,2010
USC00519397,12/24/10,0,70,12,2010
USC00519397,12/26/10,0,74,12,2010
USC00519397,12/27/10,0.13,74,12,2010
USC00519397,12/28/10,0.55,71,12,2010
USC00519397,12/29/10,0.06,75,12,2010
USC00519397,12/30/10,0.01,75,12,2010
USC00519397,12/31/10,0,72,12,2010
USC00519397,1/1/11,0,69,1,2011
USC00519397,1/2/11,0,72,1,2011
USC00519397,1/3/11,0,74,1,2011
USC00519397,1/4/11,0,73,1,2011
USC00519397,1/5/11,0,64,1,2011
USC00519397,1/6/11,0.01,65,1,2011
USC00519397,1/7/11,0,68,1,2011
USC00519397,1/8/11,0,62,1,2011
USC00519397,1/9/11,0,58,1,2011
USC00519397,1/10/11,0,73,1,2011
USC00519397,1/11/11,0.09,60,1,2011
USC00519397,1/13/11,0,68,1,2011
USC00519397,1/14/11,0.03,76,1,2011
USC00519397,1/15/11,0,68,1,2011
USC00519397,1/16/11,0,66,1,2011
USC00519397,1/17/11,0,64,1,2011
USC00519397,1/18/11,0,64,1,2011
USC00519397,1/19/11,0.03,64,1,2011
USC00519397,1/20/11,0,76,1,2011
USC00519397,1/21/11,0,75,1,2011
USC00519397,1/22/11,0,68,1,2011
USC00519397,1/23/11,0,68,1,2011
USC00519397,1/24/11,0,72,1,2011
USC00519397,1/25/11,0,63,1,2011
USC00519397,1/27/11,0,68,1,2011
USC00519397,1/28/11,0,75,1,2011
USC00519397,1/29/11,0,65,1,2011
USC00519397,1/30/11,0,64,1,2011
USC00519397,1/31/11,0.22,68,1,2011
USC00519397,2/1/11,0,68,2,2011
USC00519397,2/2/11,0,66,2,2011
USC00519397,2/3/11,0,67,2,2011
USC00519397,2/4/11,0,64,2,2011
USC00519397,2/5/11,0,65,2,2011
USC00519397,2/6/11,0,75,2,2011
USC00519397,2/7/11,1.29,68,2,2011
USC00519397,2/8/11,1.3,71,2,2011
USC00519397,2/9/11,0,71,2,2011
USC00519397,2/10/11,0.29,71,2,2011
USC00519397,2/12/11,0,68,2,2011
USC00519397,2/13/11,0,68,2,2011
USC00519397,2/14/11,0.04,72,2,2011
USC00519397,2/15/11,0.05,70,2,2011
USC00519397,2/16/11,0,74,2,2011
USC00519397,2/19/11,0,67,2,2011
USC00519397,2/20/11,1.72,71,2,2011
USC00519397,2/21/11,0,71,2,2011
USC00519397,2/22/11,0.82,71,2,2011
USC00519397,2/23/11,0,74,2,2011
USC00519397,2/24/11,0.2,68,2,2011
USC00519397,2/25/11,0,71,2,2011
USC00519397,2/26/11,0,69,2,2011
USC00519397,2/27/11,0,69,2,2011
USC00519397,2/28/11,0,68,2,2011
USC00519397,3/1/11,0.1,68,3,2011
USC00519397,3/2/11,0,72,3,2011
USC00519397,3/3/11,0,74,3,2011
USC00519397,3/4/11,0.88,72,3,2011
USC00519397,3/5/11,0.4,69,3,2011
USC00519397,3/6/11,0.03,70,3,2011
USC00519397,3/8/11,0,72,3,2011
USC00519397,3/9/11,0.2,71,3,2011
USC00519397,3/10/11,0.15,71,3,2011
USC00519397,3/12/11,0,72,3,2011
USC00519397,3/13/11,0,70,3,2011
USC00519397,3/14/11,0,71,3,2011
USC00519397,3/16/11,0,76,3,2011
USC00519397,3/17/11,0.01,73,3,2011
USC00519397,3/18/11,0.05,74,3,2011
USC00519397,3/19/11,0.01,74,3,2011
USC00519397,3/20/11,0.02,74,3,2011
USC00519397,3/21/11,0,74,3,2011
USC00519397,3/22/11,0.02,74,3,2011
USC00519397,3/23/11,0,74,3,2011
USC00519397,3/24/11,0.06,73,3,2011
USC00519397,3/25/11,0,74,3,2011
USC00519397,3/26/11,0,74,3,2011
USC00519397,3/27/11,0,73,3,2011
USC00519397,3/28/11,0.04,74,3,2011
USC00519397,3/30/11,0,75,3,2011
USC00519397,3/31/11,0,74,3,2011
USC00519397,4/1/11,0.05,74,4,2011
USC00519397,4/2/11,0.04,75,4,2011
USC00519397,4/3/11,0,74,4,2011
USC00519397,4/4/11,0,75,4,2011
USC00519397,4/5/11,0,74,4,2011
USC00519397,4/6/11,0.09,70,4,2011
USC00519397,4/7/11,1.11,70,4,2011
USC00519397,4/8/11,0.36,70,4,2011
USC00519397,4/9/11,0.02,76,4,2011
USC00519397,4/10/11,0,76,4,2011
USC00519397,4/11/11,0,76,4,2011
USC00519397,4/12/11,0,76,4,2011
USC00519397,4/13/11,0,70,4,2011
USC00519397,4/15/11,0,77,4,2011
USC00519397,4/16/11,0.12,74,4,2011
USC00519397,4/17/11,0,73,4,2011
USC00519397,4/18/11,0,76,4,2011
USC00519397,4/19/11,0,76,4,2011
USC00519397,4/20/11,0,74,4,2011
USC00519397,4/21/11,0,77,4,2011
USC00519397,4/22/11,0,77,4,2011
USC00519397,4/23/11,0,78,4,2011
USC00519397,4/24/11,0,77,4,2011
USC00519397,4/25/11,0,77,4,2011
USC00519397,4/26/11,0,76,4,2011
USC00519397,4/27/11,0,77,4,2011
USC00519397,4/29/11,0,78,4,2011
USC00519397,4/30/11,0.04,76,4,2011
USC00519397,5/1/11,0,77,5,2011
USC00519397,5/2/11,0,77,5,2011
USC00519397,5/3/11,2.1,70,5,2011
USC00519397,5/4/11,0.02,76,5,2011
USC00519397,5/5/11,0.12,74,5,2011
USC00519397,5/6/11,0.12,72,5,2011
USC00519397,5/7/11,0.55,74,5,2011
USC00519397,5/8/11,0.55,73,5,2011
USC00519397,5/9/11,0.02,75,5,2011
USC00519397,5/10/11,0.11,75,5,2011
USC00519397,5/11/11,0.1,75,5,2011
USC00519397,5/12/11,0,76,5,2011
USC00519397,5/13/11,0,77,5,2011
USC00519397,5/14/11,0,78,5,2011
USC00519397,5/15/11,0,77,5,2011
USC00519397,5/16/11,0,78,5,2011
USC00519397,5/17/11,0,77,5,2011
USC00519397,5/18/11,0,76,5,2011
USC00519397,5/19/11,0.01,77,5,2011
USC00519397,5/20/11,0,79,5,2011
USC00519397,5/21/11,0,77,5,2011
USC00519397,5/22/11,0.06,74,5,2011
USC00519397,5/23/11,0.02,78,5,2011
USC00519397,5/24/11,0,77,5,2011
USC00519397,5/25/11,0,79,5,2011
USC00519397,5/26/11,0,78,5,2011
USC00519397,5/27/11,0,78,5,2011
USC00519397,5/28/11,0,77,5,2011
USC00519397,5/29/11,0,78,5,2011
USC00519397,5/30/11,0,78,5,2011
USC00519397,5/31/11,0.05,73,5,2011
USC00519397,6/1/11,0.07,77,6,2011
USC00519397,6/2/11,0,78,6,2011
USC00519397,6/3/11,0.56,73,6,2011
USC00519397,6/4/11,0.89,70,6,2011
USC00519397,6/5/11,0,76,6,2011
USC00519397,6/6/11,0,77,6,2011
USC00519397,6/7/11,0,77,6,2011
USC00519397,6/8/11,0.03,77,6,2011
USC00519397,6/9/11,0.01,77,6,2011
USC00519397,6/10/11,0,78,6,2011
USC00519397,6/11/11,0,77,6,2011
USC00519397,6/12/11,0,77,6,2011
USC00519397,6/13/11,0,78,6,2011
USC00519397,6/14/11,0,78,6,2011
USC00519397,6/15/11,0,77,6,2011
USC00519397,6/17/11,0,78,6,2011
USC00519397,6/18/11,0,78,6,2011
USC00519397,6/19/11,0.05,75,6,2011
USC00519397,6/20/11,0.06,76,6,2011
USC00519397,6/21/11,0.07,76,6,2011
USC00519397,6/24/11,0,77,6,2011
USC00519397,6/25/11,0,78,6,2011
USC00519397,6/26/11,0,76,6,2011
USC00519397,6/27/11,0.01,77,6,2011
USC00519397,6/28/11,0.01,75,6,2011
USC00519397,6/29/11,0,77,6,2011
USC00519397,7/1/11,0.05,77,7,2011
USC00519397,7/2/11,0.02,78,7,2011
USC00519397,7/3/11,0,78,7,2011
USC00519397,7/4/11,0,78,7,2011
USC00519397,7/5/11,0.01,78,7,2011
USC00519397,7/6/11,0.01,76,7,2011
USC00519397,7/7/11,0.01,76,7,2011
USC00519397,7/8/11,0,77,7,2011
USC00519397,7/9/11,0.03,77,7,2011
USC00519397,7/10/11,0.02,77,7,2011
USC00519397,7/11/11,0,78,7,2011
USC00519397,7/12/11,0,77,7,2011
USC00519397,7/13/11,0.15,73,7,2011
USC00519397,7/14/11,0,77,7,2011
USC00519397,7/15/11,0,79,7,2011
USC00519397,7/16/11,0,78,7,2011
USC00519397,7/17/11,0.04,77,7,2011
USC00519397,7/18/11,0,78,7,2011
USC00519397,7/19/11,0,78,7,2011
USC00519397,7/20/11,0,76,7,2011
USC00519397,7/21/11,0.03,77,7,2011
USC00519397,7/23/11,0,78,7,2011
USC00519397,7/24/11,0,77,7,2011
USC00519397,7/25/11,0,78,7,2011
USC00519397,7/26/11,0,78,7,2011
USC00519397,7/27/11,0.04,77,7,2011
USC00519397,7/28/11,0.09,77,7,2011
USC00519397,7/29/11,0.04,78,7,2011
USC00519397,7/30/11,0.12,80,7,2011
USC00519397,7/31/11,0,77,7,2011
USC00519397,8/1/11,0,78,8,2011
USC00519397,8/2/11,0,77,8,2011
USC00519397,8/3/11,0,78,8,2011
USC00519397,8/4/11,0.02,76,8,2011
USC00519397,8/5/11,0.03,78,8,2011
USC00519397,8/6/11,0.01,77,8,2011
USC00519397,8/7/11,0,78,8,2011
USC00519397,8/8/11,0,78,8,2011
USC00519397,8/9/11,0,79,8,2011
USC00519397,8/11/11,0,78,8,2011
USC00519397,8/12/11,0,78,8,2011
USC00519397,8/13/11,0,76,8,2011
USC00519397,8/14/11,0,78,8,2011
USC00519397,8/15/11,0,77,8,2011
USC00519397,8/16/11,0,79,8,2011
USC00519397,8/17/11,0.02,77,8,2011
USC00519397,8/18/11,0,77,8,2011
USC00519397,8/19/11,0,78,8,2011
USC00519397,8/20/11,0.07,77,8,2011
USC00519397,8/21/11,0,77,8,2011
USC00519397,8/22/11,0,78,8,2011
USC00519397,8/23/11,0,78,8,2011
USC00519397,8/24/11,0,79,8,2011
USC00519397,8/25/11,0,78,8,2011
USC00519397,8/26/11,0,78,8,2011
USC00519397,8/27/11,0,79,8,2011
USC00519397,8/28/11,0.05,76,8,2011
USC00519397,8/29/11,0.1,76,8,2011
USC00519397,8/30/11,0.02,78,8,2011
USC00519397,8/31/11,0,79,8,2011
USC00519397,9/2/11,0,79,9,2011
USC00519397,9/3/11,0,78,9,2011
USC00519397,9/4/11,0.03,77,9,2011
USC00519397,9/5/11,0,77,9,2011
USC00519397,9/6/11,0,73,9,2011
USC00519397,9/7/11,0,73,9,2011
USC00519397,9/8/11,0,77,9,2011
USC00519397,9/9/11,0,79,9,2011
USC00519397,9/10/11,0,77,9,2011
USC00519397,9/11/11,0,77,9,2011
USC00519397,9/12/11,0,85,9,2011
USC00519397,9/13/11,0.01,77,9,2011
USC00519397,9/14/11,0,76,9,2011
USC00519397,9/15/11,0,79,9,2011
USC00519397,9/16/11,0,79,9,2011
USC00519397,9/17/11,0.02,77,9,2011
USC00519397,9/18/11,0.04,77,9,2011
USC00519397,9/19/11,0,82,9,2011
USC00519397,9/20/11,0,80,9,2011
USC00519397,9/21/11,0,79,9,2011
USC00519397,9/22/11,0.03,78,9,2011
USC00519397,9/23/11,0,76,9,2011
USC00519397,9/24/11,0,77,9,2011
USC00519397,9/25/11,0,74,9,2011
USC00519397,9/26/11,0,77,9,2011
USC00519397,9/27/11,0,78,9,2011
USC00519397,9/28/11,0,77,9,2011
USC00519397,10/1/11,0,78,10,2011
USC00519397,10/2/11,0,78,10,2011
USC00519397,10/3/11,0,80,10,2011
USC00519397,10/5/11,0,79,10,2011
USC00519397,10/6/11,0,75,10,2011
USC00519397,10/7/11,0.03,78,10,2011
USC00519397,10/8/11,0,79,10,2011
USC00519397,10/9/11,0,78,10,2011
USC00519397,10/10/11,0.02,77,10,2011
USC00519397,10/11/11,0.03,78,10,2011
USC00519397,10/12/11,0,77,10,2011
USC00519397,10/13/11,0,77,10,2011
USC00519397,10/14/11,0.03,78,10,2011
USC00519397,10/15/11,0.02,77,10,2011
USC00519397,10/16/11,0,76,10,2011
USC00519397,10/17/11,0.02,77,10,2011
USC00519397,10/18/11,0.01,76,10,2011
USC00519397,10/19/11,0,74,10,2011
USC00519397,10/20/11,0,78,10,2011
USC00519397,10/21/11,0,76,10,2011
USC00519397,10/22/11,0,77,10,2011
USC00519397,10/23/11,0,75,10,2011
USC00519397,10/24/11,0.14,74,10,2011
USC00519397,10/25/11,1.6,77,10,2011
USC00519397,10/26/11,0.01,76,10,2011
USC00519397,10/27/11,0,77,10,2011
USC00519397,10/28/11,0.05,73,10,2011
USC00519397,10/29/11,0.01,76,10,2011
USC00519397,10/30/11,0,75,10,2011
USC00519397,10/31/11,0.03,76,10,2011
USC00519397,11/1/11,0.58,71,11,2011
USC00519397,11/2/11,0.28,77,11,2011
USC00519397,11/3/11,0.02,77,11,2011
USC00519397,11/4/11,0.01,75,11,2011
USC00519397,11/5/11,0,76,11,2011
USC00519397,11/6/11,0,77,11,2011
USC00519397,11/7/11,0,78,11,2011
USC00519397,11/8/11,0,76,11,2011
USC00519397,11/9/11,0.02,76,11,2011
USC00519397,11/10/11,0,76,11,2011
USC00519397,11/11/11,0.05,74,11,2011
USC00519397,11/12/11,0,75,11,2011
USC00519397,11/13/11,0,76,11,2011
USC00519397,11/14/11,0,73,11,2011
USC00519397,11/15/11,0,71,11,2011
USC00519397,11/16/11,0,75,11,2011
USC00519397,11/17/11,0,76,11,2011
USC00519397,11/18/11,0,78,11,2011
USC00519397,11/19/11,0,76,11,2011
USC00519397,11/20/11,0,75,11,2011
USC00519397,11/21/11,0.01,76,11,2011
USC00519397,11/22/11,0.02,73,11,2011
USC00519397,11/23/11,0.01,75,11,2011
USC00519397,11/24/11,0,73,11,2011
USC00519397,11/25/11,0.01,70,11,2011
USC00519397,11/26/11,0.02,75,11,2011
USC00519397,11/27/11,0.07,73,11,2011
USC00519397,11/28/11,0,72,11,2011
USC00519397,11/29/11,0,72,11,2011
USC00519397,11/30/11,0.02,66,11,2011
USC00519397,12/1/11,0.03,69,12,2011
USC00519397,12/2/11,0.08,68,12,2011
